id,title,content,tags
2322,what can be the rating and specifications of dc motor used for making a quadcopter ,i want to make a quadcopter for my final year project and i am willing to use dc motors as the four rotors of the quadcopter  can any one guide me about the ratings for proper motor selection for my job  ,quadcopter
2324,kinematics of a   wheeled differential drive robots,i have a   wheeled differential drive robot  like the pioneer   at  there are only two motors  one for left wheels and one for right wheels  i want to send velocity commands to the robot  i m using ros and the standard commands are   linear velocity  angular velocity   i need to convert them into left and right velocities  from literature if i had   wheels i should do this    where  r  is the absolute value of the distance from the wheels to the robot  center   how should i take into account that i have   wheels  ,wheeled-robot inverse-kinematics wheel
2326,problem with simulated sensor in matlab ,i m simulating a sensor in  d  the sensor should determine    from the origin  where  is the rotation about z axis and  is the rotation about x axis  the sensor is given position of a point    this is what i did  now i need to get the cartesian coordinates     this is what i did      p theta phi    getmeasurement x  y  z       x    p cos theta  sin phi       y    p sin theta  sin phi       z    p cos phi     the sensor is working fine at the beginning but at a particular point it behaves strangely  i have the state vector to compare it with the measurement  i m guessing that  might be the problem    edit   i m sorry for this mistake  the aforementioned calculations based on the following picture  so  the point will rotate first about z axis    and then rotate about x axis    ,sensors sensor-error
2330,is it possible to achieve fully autonomous route following using px fmu module ,i have a quadcopter equipped with px fmu board  you may download its datasheet from here  i wonder whether it is possible to program the quadcopter to autonomously follow a path like circular motion without any human interference  are the built in sensors enough for this task  i also wonder how accurate the built in gps is  i read that it gives coordinates with a radius of  m as error  ,quadcopter
2331,what is the kalman filter in the basics of its aspects ,my question is very broad  however i would like a complete description to the very last detail in a way that a foreign exchange student would understand  i want to try my best to master the way the kalman filter works  please be as through as you possibly can  and more  ,kalman-filter
2336,learning  embedded  electronics,i am an aerospace engineer  currently in grad school  and i really want to get into  embedded  electronics  but i have this problem  i understand the theory fairly well  i took an edx course in circuits and had no problem  i can build projects from the internet  however  i have a very hard hard time connecting the theory with the practical part  understanding why projects are done the way they are done and i have a hard time to design my own projects  please help  i d appreciate the following   general tips  how did you learn it  how is your workflow  what should i do  which steps should i take   books  which hands on books and websites can you recommend  i am looking for books and website that are practical but also explain the why  kits  what kits can you recommend that combine the theory with the practical   anything you think is important thank you for your time  ,electronics
2337,monte carlo localization,i m implementing monte carlo localization for my robot that is given a map of the enviroment and its starting location and orientation  mine approach is as follows   uniformly create     particles around the given position then at each step   motion update all the particles with odometry  my current approach is newx oldx  odometryx   standardgaussianrandom   etc   assign weight to each particle using sonar data  formula is for each sensor probability  gaussianpdf realreading  where gaussian has the mean predictedreading  return the particle with biggest probability as the location at this step  then      of new particles are resampled from the old ones according to weights and      is uniformly sampled around the predicted position   now  i wrote a simulator for the robot s enviroment and here is how this localization behaves   i m very afraid that for a longer period of time the robot may get lost  if add particles to a wider area  the robot gets lost even easier   i expect a better performance  any advice  ,localization motion-planning sonar
2341,how do ultrasonic range finders detect objects at an angle ,as far as i can tell  an ultrasonic rangefinder works by reflecting inaudible soundwaves off of objects and timing their return   but if the object has a flat surface and is angled with respect to the line to the rangefinder  how does it detect that object   under what circumstances might it give a false distance or otherwise fail to detect the object  ,sensors sonar
2345,simple web interface with beaglebone black,this is actually a very simple question  but i m lost at the moment  i was using a beaglebone black for a school project  it controls a bunch of motors and actuators etc  we wrote everything in c    and made libraries of functions  when a main program calls them  the functions run just fine  recently we have been told to demo our progress so far  the main program is nowhere near done  so we were thinking of some sort of web interface that can execute the complied c   program on command  we were hoping to get the server hosted on the board  and access it via lan from other pcs  but i ve never done this before and have no idea where to start  does node js  with the  bonescript   going to be of any help  or is there a simpler way with basic html  i only have a few days to figure it out  so i didn t want to waste time looking at the wrong methods  ,embedded-systems
2347,the costs of using existing   axis kuka abb robots and existing vision systems in picking and placing tasks,i would like to use a kuka abb   axis robot and a machine vision system to pick and place a variety of metal drill bits in size ranges from    mm  ascending up    mm per cylinde  to   mm in metric and then      of an inch ascending to      of an inch  the machine would not have to differentiate between the bits  niether drill bit would weight more than  kg  crucially at the beginning and end of the picking and placing i would like to inspect the very tip of the cylinders to be inspected for a     degree chamfer on one end of the bit which should be present regardless of drill diameter of length   i am lead to believe that if the drill bits are placed end up on a conveyor belt and always the the same place its relatively low cost but crucially if the kuka   axis robot has to find the drill bits then the cost increases dramatically  is this true  ,industrial-robot
2348,what motor to use for reciprocating  reversive  movement,i want to make a copy of this machine fisher price soothing motions  glider and i m wondering what motor to use  simple dc motor with appropriate gearbox  slow rpm  or stepper motor  here is another instance of this idea  ,motor stepper-motor mechanism
2350,electronic noses for detecting dog urine,i have very limited experience with sensors or robotic components at all  and i hope you will excuse the lack of detail in this question   i want to set up posts around my yard with electronic noses that detect dog urine  i want to use this information to make a map of my yard from a dogs perspective  is it possible with todays technology  what would it cost  there may be information that is very relevant to me  but that i m not requesting  this is because of lacking insight  if there is something you think i should consider or research  please say so   ,sensors electronics
2356,line follower robot program,i am working on a line follower robot as part of my microelectronics project  and am confused over what sort of code to use to program the  pic  f  microcontroller i m using  can someone give me source code or a layout of the code and what should be in there  ,c line-following
2357,cons and pros of wireless technologies for rescue robot,robotics enthusiasts  i m a member of a team which has to develop a mobile rescue robot to cooperate with firemen  e g  on earthquake sites   the problem we have is connection of a commander post with the robot  the robot has to enter buildings  so it is desirable that the connection can go through several decimeters of walls and have a reach        meters  on the other hand  we need to send a lot of data  camera images  point clouds  maps  which can easily eat    mbps or more  at this time we use     ghz wifi for this connection  as for the speed  with direct visibility it seems to be sufficient  but only when a single robot is operating  we can use up to   non overlapping channels  so in theory   robots can work together  but usually you have the environment messed up with home routers   we need at least   robots to be operating simultaneousely  we have tried   ghz wifi  but it has problems with penetrating walls  so it can only be used for uavs  my idea was to use some mobile connection technology like lte  i found that lte can be run on     mhz  which could be great for the wall penetration performance  i also found that the lte s theoretical upload speeds  for clients  are    mbps  but nobody says if it is on     ghz and how would it be changed when running lte on     mhz  moreover  we cannot rely on some provider s coverage  i have found that you can build your own lte transmitter for about        which seems to be interesting to us  maybe it is possible to build it even cheaper  but we think both     ghz and     mhz are regulated frequencies  however  the cooperation with firefighters could persuade local regulators to give an exception to us to setup our own small lte base station  and now to the question  do you think such setup would give better results than using wifi  or do you know of any other technologies that would help us to either increase the bandwidth or the wall penetration performance  what are their cons and pros  ,wireless
2361,explanation of the kalman filter,i am a beginner in robotics  and i am learning about the kalman filter  i do not seem to get it  though  i am a mathematician  and so it would be helpful if the kalman filter could be explained in a mathematical method  ,kalman-filter
2362,actuator to control steam valve,i have a steam radiator at home and it has a valve similar to the picture below   please note that the valve doesn t have grooves on top to attach things to  i want to build something to turn it on and off depending on the temperature at certain points in the room  i have that taken care of but cannot find a way to attach a actuator actuator is the right word in the context i guess   to turn the valve in both directions  also it is a rented apartment so i would like to avoid making any modifications to the radiator itself  ,actuator valve
2363,building a mobile camera platform,i have zero experience with robotics  but i need to build a mobile platform for a streaming camera  the idea is that i ll plug in my android phone into the pan tilt unit on my wheeled robot and then drive and look around via wifi  i have already solved all of the software  interface and controller issues  but i would appreciate some advice on how to build the wheeled platform  my initial idea was to buy a cheap rc car  remove all electronics and replace them with my own  this approach almost worked  i purchased this new bright f     truck   the size is good and there is plenty of storage space    however  i quickly ran into a problem with this thing  i assumed that the front wheel would be turned by some kind of servo  instead i found this nonsense    that small gear shaft is not driven by a servo   it s a conventional motor  which spins until it is jammed at the extremes of travel  the wheels are straightened when power is removed by a small spring on the other side  this means that there is only one angle at which the wheels can be turned  and that angle is way too small for what i need  so using this rc car will not work  before i start buying more things  i would like to hear some opinions from more experienced people  am i on the right track  do i simply need to get a better rc car  or are they all designed like this  perhaps there are other options that would be more suitable for what i am doing  ,mobile-robot
2365,covariance matrix in ekf ,i m struggling with the concept of covariance matrix     sigma     begin bmatrix   sigma  xx     sigma  xy     sigma  x  theta      sigma  yx     sigma  yy     sigma  y  theta      sigma   theta x     sigma   theta y     sigma   theta  theta      end bmatrix   now  my understanding for     and  that they describe the uncertainty  for example  for   it describes the uncertainty of the value of x  now  my question about the rest of sigmas  what do they represent  what does it mean if they are zeros  i can interpret that if  is zero  it means i don t have uncertainty about the value of x    note  i m reading principles of robot motion   theory  algorithms  and implementations by howie choset et  al   which states that  by this definition  is the same as  the variance of   for   if   then  and  are independent of each other   this may answer my question if the rest of sigmas are zeros however  i m still confused about the relationship between these variables for example  and   when does this happen  i mean the correlation between them  or in other words  can i assume them to be zeros  another book namely fastslam  a scalable method     by michael and sebastian which states   the off diagonal elements of the covariance matrix of this   multivariate gaussian encode the correlations between pairs of state   variables   they don t mention when the correlation might happen and what does it mean  ,kalman-filter noise
2371,compensating for yaw in lateral quadcopter movement,i m trying to make a quadcopter move laterally at a certain angle  i ve been able to find the proper roll and pitch angles for this  that work with a yaw of      how would i adjust these values to compensate for a different yaw  ,quadcopter gyroscope movement dynamics
2373,using vision for monte carlo localization,from each step of my vision code i am able to get around     coordinates of where the robot thinks the walls are i want to integrate this into monte carlo observation step  i m storing the map of the maze as a set of line segments  what would be a nice way to implement the sensor update  i e  given the position  x y  of the robot what is the probability that it is found there given the above described coordinates of the walls   the main idea i currently have  transform points in polar coordinates  then for each point  from vision output  compute a ray with this angle and find the first intersection with the maze  now we have the predicted distance and real distance and we can compute the probability that this measurement is right   the main drawback is that this is slow  for each point from vision output i have to iterate over all line segments to find the one with the closest intersection  the line segments number is around     so it gets to o        particle number   ,mobile-robot localization computer-vision
2374,maximum angle between the camera pose to correctly estimate homography,i want to capture two views of same scene  the scene consists of a set of objects kept on a table  from the two views  i wish to calculate homography for image matching  i want to know what is the maximum angle between the two views  such that the homography can be accurately calculated  right now  i am capturing the images at around    degrees of angle  but unable to construct homography accurately  ,kinect computer-vision stereo-vision
2376,kinect for xbox  sdk selection,my application is basically about sound source localization and visual servoing  i selected kinect as the main hardware  i already know the basic differences between kinect for windows and kinect for xbox  i cannot access to windows version from my country  no reseller here in turkey   but the xbox version is there at the stores  i am not sure about problem specific software selection  i found out that the latest kinect sdk supports sound source localization  and beamforming  using the built in microphone array  can i use that sdk within the xbox version  or is there another sdk for xbox  having the same support  i am not sure because i also read that openni does not provide the best audio api  i will also apply some processing on image   depth outputs  so i will be using opencv  i also want to use qt for threading  gui etc  so  another question  is it possible to use the microsoft official kinect sdk within another ide  not visual studio  ,kinect
2379,water depth arduino sonar sensor,just like a fish finder finds the depth of the water directly beneath it  im trying to find a sensor that i can purchase for the arduino that does the same  would like it to check up to    ft at least  with high accuracy         or    cm  all the threads and info i ve been finding are water level sensors not for water depth  so does anyone know of a sensor like this and where i can find one  ,arduino microcontroller underwater
2382,motion model for holonomic robot,we are working with an holonomic robot equipped with three      degree shifted  omnidirectional wheels  the relative movement is estimated by dead reckoning using wheel encoders  to improve this estimation we installed an gyroscope to measure the change in orientation  furthermore the robot has a     degree laser range finder   in order to solve the kidnapped robot problem we implemented a particle filter  in every step each particle is updated according to the odometry and gyroscope readings  since these readings are distorted by noise we need a motion model to include these errors  as described in probabilistic robotics by thrun  page            there are two commonly used motion models  velocity motion model and odometry motion model   however these models seem to describe the behavior of differential drive robots not omnidirectional robots  i base this thesis on the fact that the error in relative y direction is proportional to the error in orientation as far as the motion models by thrun are concerned  this is appropriate for differential drive robots as the orientation and the heading of the robot are identical  for omnidirectional robots this assumption can not be made since the heading and the orientation are completely independent  even if we assume perfect information about the robots orientation we can still obtain error in relative y direction  i would like to discuss if my assumption   that the velocity odometry motion model fails for omnididrectional robots   is correct or not as i am not sure about that  furthermore  i am curious if there are any other motion models for omnidirectional robots that might fit better  ,mobile-robot localization motion particle-filter
2387,how can i start programming proto x quad,i have bought a really small proto x quad  it has a joystick which navigates the device  and i am looking for a way to send a signal to this thing from my computer   so can anyone point me how can i turn on one of the propellers of this quad using my laptop  i have a decent knowledge in python matlab c  but hardware is a completely new world to me   ,quadcopter programming-languages
2394,lidar solutions,i am surprised by the price range of lidar applications considering the simplicity of the design  i try to make a simple project that requires lidar for object recognitions etc  i wouldn t like to use visual recognition such as opencv   regardless of that i am trying to understand why lidar solutions are so expensive you can see that this   small lidar sensor goes for        but their performance is very bad   i hope you can answer what makes a lidar so expensive and what are some cheap systems a hobbyist can afford   ,arduino computer-vision lidar
2396,generic name for two motor wheeled tracked robots ,is there a generic name for the category of robots that move using two opposing wheels or tank like treads  ,mobile-robot differential-drive
2402,how to  attach wheel encoder to motor ,i have a couple of these dc motors  which have an extended motor shaft that sticks out the back and is  mm diameter   i m having trouble trying to think of the best way to attach an encoder disk to this shaft  i thought of getting a custom wheel  d printed and make the opening    mm so it will be a tight fit  but i don t know if is just to small  i also though of taking the encoder disks from a pc mouse and drilling a  mm      mm but its the same problem but with the added difficultly of trying to drill a small hole on a small thing  so i wondered if anyone knows a better way  or of a made disk to attach  as i just can t find anything for a  mm shaft ,motor
2409,connections on a baby orangutang b     board,i am new to robotics and planning my first purchase  i m looking at the baby orangutang b      here is information about the microcontroller    the pin headers come unmounted  so you have to do the soldering yourself  my problem is that i don t know what the pin connections are for  here is a picture of the board    could someone briefly tell me what the different connections are for  or link a website that does  ,microcontroller
2411,robotic part to dispense candy,i m a complete newbie trying to build a simple robot that dispenses candy  m m  skittles  etc    however  since i m not familiar with the field  i m having a hard time googling because i don t know the correct terms to search for   i m looking for a piece to build a robotic  trap door  of sorts that will open for a specified amount of time to release candy   what parts can i use and what is are called   i ve tried robotic lever  robotic door  etc with no luck  ,design
2413,why is analysis required to study robotics ,i am studying informatics and i am interested in doing a masters in robotics and i was checking out some unis and their courses and i saw that robotics contains analysis and a lot of math  why is that  ,software
2416,low amp fpv quadcopter motors,why do fpv quadcopter motors  usually the more expensive ones  draw lower amps than regular motors   and why are they more squat disk shaped  as opposed to normal motors which are about the same diameter and height  ,motor quadcopter
2418,quadcopter props  wood vs plastic vs carbon fiber,all the pro fpv builds and the more expensive quads don t seem to be using plastic props  any reason for this  ,quadcopter
2421,just run program on nxt  not download ,is there any way i can simply run a program on the nxt  but not download it   i have all my programs already downloaded  and i am connecting with a usb cable to a macbook pro using the nxt g interface   is there any way i can just run programs existing on the nxt from the computer  and not download them   it s really increasing my robot s run time     i am competing in robocross in science olympiad  and my event is at noon   thank you  ,nxt usb
2422,is configuration space same as joint space ,for robotic manipulator like the one on the picture   are the configuration space and joint space equivalent  i am trying to understand difference between the two    ,kinematics motion-planning forward-kinematics
2423,what do quadcopter propeller specifications mean ,i m trying to figure out the diameter of tri blade propellers  i found a  x x    blade  i m trying to understand the measurements  is the     the length of the blade giving the prop a       diameter  or is the   the total diameter  ,quadcopter design
2424,android phone   adk   arducopter apm     for autonomous quadcopter,for a project for a robotic lab  i d like to build an automous quadcopter able to follow a path and land on its own  i d like to use an onboard android phone to do the image processing and recognition part  so that i avoid to send the video stream to a control station  process it and send back the commands  as i need to use it in an indoor environment  so no gps coordinate   i need the phone to guide the quadcopter giving it relative directions like forward and after   sec stop  this is something a normal pilot would do via the rc radio  i already have a arducopter apm     and an arduino mega adk and i was thinking to connect the phone to the adk and then the adk to the apm to guide the copter  i think i have   options  either having the adk to generate ppm pwm signals as a rc receiver would do or use the mavlink protocol  which is the best easiest solution  other info   i have already read checked some uav related websites  but i couldn t find something close to what i want  in most of them  try to build a new type of controller  or use only ab android phone   adk  i d like to stick to something already tested and known to work  as the apm   arducopter software  and i don t want to use the phone as imu as i don t trust its sensors  i already have built the quad  a hexa actually   i have already set up the connection and protocol between the phone and the adk so i m able to send commands like  i e  forward  turn  hover etc     i have already checked the andro copter project and similar ones   i might consider other platforms than the apm     if there s something easier to use  it d be nice to keep the rc receiver in the loop to regain control of the quad if something goes wrong  ,arduino control quadcopter ardupilot
2426,how to programatically calibrate turningy esc ,i have a turnigy esc and i am controlling it from avr  now i need to calibrate it to set the range of the input  with a servo tester i managed to calibrate it without any problems  more or less by following the user guide  but when i try to do the same procedure from code  the esc starts beeping in some confused pattern and then enters programming mode  my code looks like this   where  servo range ticks is    ms pulse length   servo range ticks is    ms pulse length and   is    ms  the timeouts of   s were measured during the manual calibration with a stopwatch  i have checked with an oscilloscope that the output servo signal looks the way i would expect it       seconds of    ms pulses     seconds of    ms pulses and then    ms pulses  edit  i made a mistake here  see my answer  do you have any idea what to change to calibrate the esc  ,c calibration esc avr
2433,what is minimum torque required for cnc stepper motors and spindle for aluminium milling ,i am planning to buy cnc mechanical skeleton without motors  spindle and controller  i will be using the cnc mainly for aluminium milling  are there any specifications for minimum torque requirement for stepper motors and spindle to perform aluminium milling   ,stepper-motor cnc
2434,is it possible to make diy clone of makerbeam,is it possible to make clone of  of some easy accessible material like   wood plywood osb mdf hdf others  using any type of cnc machine to mill some holes and rails in those materials may give sufficient results e g  to make a prototype of  d printer of such  beams   of course it won t be as rigid and durable but for making prototypes it may be good idea  just for reference  when reading this  i ve found this   this  and this   and this   ,mechanism
2435,jsp container for embedded systems,there is this project i am working on which is using a beaglebone and we need a jsp container to run on it  i was thinking of tomcat but wanted to know if tomcat is suitable for embedded systems  is it too resource heavy  if yes  are there other lighter jsp containers  i know only of tomcat and jetty  ,beagle-bone
2443,how to link ends of timing belt into loop,when i buy some length of timing belt i don t know how to link ends of timing belt into loop  so far i ve found one way to do that  thanks to     any other ideas  ,mechanism
2445,transformation a robot in  d ,i m watching this video at       min  the guy gave an example but i m not sure what is the problem  he stated that if we want to move a robot then we should to the following  for inhomogeneous case    x    rx   t    r     begin bmatrix  cos theta    sin theta    sin theta    cos theta  end bmatrix    where  is the translation vector and  is the previous position   in homogeneous case    x      begin bmatrix  r    bf t      bf     t        end bmatrix  x  now  he gave an example in which   t     begin bmatrix           end bmatrix     x     begin bmatrix               end bmatrix   my solution is as the following in matlab  for homogeneous case    xn    r t          x       xn                                      both have same result  but the guy got another result  what exactly he did is     xf    r x          t       xf                                      why he did switch  and   i m aware of the issue that he is trying to calculate the velocity but in fact he is computing the position  this mistake in the notation won t affect the final result    second question  why he assumed that the forward movement of the robot in the above example should be  t    begin bmatrix      end bmatrix     he said that because the robot always in the forward movement move in  x axis  why this is the case  the movement in robot s frame is determined based on the direction of the robot and the distance the robot travels which is specified as hypotenuse length   ,mobile-robot
2446,rc helicopter connect with computer,i am planing to control my rc helicopter with my computer  i have experience of programming in  net  could we use  net to control rc helicopter   from where can i start this project  ,control radio-control
2453,quadrocopter first build  how to tell if components play well together ,i m building my first quadrocopter  and i m trying to come up with a parts list that is suitable for a first build   i will use this to learn how to fly a quadrocopter manually  lots of crashes    and to do some experiments with running ai for piloting it  a couple questions about the below list of parts   is this a good choice for a first build  are we missing any crucial parts  do these components work together  is this battery strong enough to fuel all the components that need power   here s the current list of parts   frame       mm propellers     x      two pairs motor   x       kv brushless outrunner motor  max current    a  esc       a  cell count  s  s lipoly electronic speed controllers   x      a constant current    a burst current  battery     s lipoly battery       mah lipoly      v    cell  constant discharge    c  peak discharge    c  charge plug  jst xh       mah x   c      amps  charger   lipoly    w   a    v power supply power supply   input  ac        v      hz  output  dc  v  a arduino board gyroscope for arduino accelerometer for arduino gps sensor for arduino  rc transmitter for arduino rc controller  ,arduino motor sensors quadcopter
2456,how are interference avoidance and collision avoidance different ,someone told me when explaining about a controller module named  that it only checks self interference and moves accordingly without detecting collision  to me both sounds the same  how are they different  thanks  ,untagged
2458,what should i study if i want to get into robotics ,i understand this is a broad question but i m taking the risk to ask anyway   robotics  from what i can tell so far  is a detailed  diverse  and thorough field  however  if there are better areas of research to invest time into  what would those areas be  ,research
2462,connecting a raspberry pi to a roomba via an ftdi cable,i have a raspberry pi with this ftdi cable and a roomba      the roomba has an sci port to allow for control of the roomba via serial  i installed the pyserial library on the pi and send valid commands to roomba  but the roomba doesn t respond  i have the txd of the cable attached to the txd of the roomba  the rxd on the cable wired to the rxd on the roomba  and a ground on the cable wired to the ground on the roomba  everything in  it s respective port   i do not have power going from the cable to the roomba or vice versa  what i can t figure out is why the commands aren t working  there s no error message upon running the python code  this is the information sheet for the roomba s sci port  code   ,mobile-robot software wheeled-robot
2465,alternatives to primesense depth cameras ,i m looking for low cost depth cameras  less than      usd  with a range of more than   meters  currently  i have found only softkinetic ds     that meets these requirements   here are some other low cost cameras that i found  but they have a short range   pmd vision  camboard nano softkinetic ds      and others with a long range but high cost  panasonic d imager pmd vision  camcube     swissranger sr     odos imaging real iz  k  ,sensors kinect computer-vision
2470,gps amplifier   is this reliable ,i m multimedia developer who is searching for a way to get gps signal inside buildings structures  is amplification a reliable way to fix this gps signal issue  will a  gps amplifier  work as perfectly as using gps outside  ,wireless gps
2476,benefits of the number of propellers,i am planning on creating a quad copter with my arduino that i have  i have created a few land robots before but no aerial vehicles  so this is all new to me  i was looking on the internet for different models  and i see that most robots have   propellers  i have also seen a few hexacopters     and octocopters but that many propellers can t get a but out of hand  does having   propellers the best and most efficient thrust to weight ratio  or will   propellers arms work better  ,quadcopter
2478,ros   android sensor driver,i try to connect android device and computer over ros    this tutorial explains good  i download the application on android device and set the ros master uri   when i run the application  the phone shut down and this node is not seen in  rosnode list  is there anyone who experience similar error  ,ros
2480,looking for a circular track and bearing with a spindle,i ve really tried to find something online that s suitable but what i m after is i ve two concentric circular rings  one of which has a diameter about   mm smaller than the larger   the rings themselves are in the region of    mm diameter  i m trying to find a way to connect the two together and allow the smaller to  slide  in a circular rotational way within the larger one  i m also trying to let the   rings pivot vertically in relation to each other   the intention being of producing a gyroscopic esque motion   what type of bearings tracks spindles would suffice  ,tracks linear-bearing
2481,writing a simple program for processing rgbd video with openni,i would like to write a simple program which processes the depth feed from an asus xtion depth sensor using openni  the sensor will be fixed like a cctv camera and count multiple targets moving around   the processing would involve some simple functions on each frame  background subtraction  level sets  connected components filter   and some multi target tracking across frames  i have searched the web  but it is hard to see how best to get started  and i m also quite new to programming in c    can anyone recommend any existing code that can help to get started   any libraries which would be suitable for this real time application  or perhaps there is some opensource code which already does such a thing  would really appreciate any pointers from anyone with experience  thanks  ,openni
2486,val language and velocity control of industrial robot,in my bachelor  i programmed cnc machines  now  working with an industrial robot arm  i learn that their programming languages are mostly similar  val is a typical example  for instance   most of the cases  control of a robot arm is similar to this example  cleary  move end effector to a point with a given pose  but    is there any way that i can control the end effector  ee  speed  an example is  move ee to p  with time duration t    or  move ee to p  with velocity v    i could have only seen defining for joint rotational velocity  in other way of speaking  i can command the ee to move from p  to p  but cannot control the duration of that traverse which is necessary in cases of ee velocity control this is the programming manual for my robot   the velocity control i m talking about is not joint velocity but end effector velocity  but ee screw   robot jacobian joint vel which means to control ee velocity  it resolves in control joint velocity  about the inverse kinematic  i ve already programmed a module to solve the robot the experienced in robotics programming and val please help  i ve stuck in this problem for months ,control manipulator
2488,can motion model noise be zero ,can i assume the noise of motion model to be zero  if so  what are the consequences of doing so  ,kalman-filter noise ekf
2489,vex   keeping arm at an angle,so my team made a vex robot for the toss up competition  but we need the arm up during the autonomous  the problem is that it s too heavy to stay up on its own  i was going to use encoders to count what angle the arm is at  i was going to use this code  but i m not sure if there s a better way   would anyone recommend a better solution or is this the best way  this is untested by the way  ,arm
2491,how are color sensors used for line following ,i have to build a line following robot that will be able to detect a selected colored line on the floor and start following it  how do color sensors do this after detecting the specific colored line  ,mobile-robot sensors
2494,slam for autonomous car,i am working on slam for autonomous car like vehicles with  d lasers and imu  deriving odometry   i would like to know how efficient is using the existing slam algorithms  for example  gmapping in ros based on rao blackwellized particle filter   till now i find map are high in volume and speed of vehicle is high and most importantly computational time compared to mobile robots  are there  any other important factors to consider for car like vehicles in using slam algorithm  thank you  ,mobile-robot localization slam
2498,forward kinematics two fixed standard wheels, what would the equations be for the robot s angular and linear velocity at p and also p   i think i m doing it wrong    wl   left wheels angular velocity wr   right wheels angular velocity for p i had for example the linear velocity         r wl          r wr am i on right track  ,kinematics wheel
2499,can inverse dynamics control be regarded as a function ,i know that inverse kinematics    p  desired pose of the end effector  q  joint angles  is not a function because there might be multiple joint angle vectors q that result in the same pose p  by inverse dynamics control i mean the mapping   u  required torques  i am not very experienced with these kind of problems  is the mapping a function  i e  for each triple  there is a unique solution u  my intuition says it is  but i am not sure  if there is not  would it always be possible to obtain a solution by averaging two or more solutions  ,dynamics
2504,jacobian method for inverse kinematics,i have big problem  i have to solve inverse kinematics for a manipulator with   dof using jacobian method  from what i know to do that i need to have matrix of transformation and denavit hartenberg parameters  which both i have  but i am not a mathematician  and descriptions i find on the web are not even a bit understandable to me  so i would love if you could give me an example of how to solve my problem  the denavit hartenberg parameters are            begin matrix           alpha   l    lambda    theta                          var                               var                               var                                 var                               var                              var                   end matrix   the values in theta are values to get the following matrix of transformation  and values i want to get with this jacobian method  and those values are in degrees  matrix of transformation            begin matrix                                                                                                                                                                                  end matrix   i would be most greatful  if someone could walk me through how to solve it in simple language  ,inverse-kinematics
2507,robotics as a beginner,i want to begin robotics so as a beginner what micro controller would be convenient arduino or pic what type of robots can be built with arduino or pic  should i start from just a line following vehicle   ,arduino microcontroller beginner
2508,looking for a way to scan cylindrical objects,can anyone recommend a commercial or solid  reliable diy solution for scanning cylindrical objects  i ve seen a couple of simple hacks for flatbed scanners  but i m looking for something i could make or buy for a commercial project that work reliably  many thanks ,stepper-motor
2510,slam and vision  good resources  ,i would like to know if there is a good source that combines slam problem with vision  from mathematical perspective  there are numerous resources that handle slam  however  i didn t find a good source that focuses on slam and vision    ,kalman-filter slam ekf
2511,find the difference between two consecutive sensor readings in real time in c,i am working on a micromouse and it has three sensors  call it s  s  and s   for now  i have to use s   the idea is this s  controls the left motor and s   the right motor  s  will detect wall in the front   anyways  i am trying to write a code in c for the dspic  f     mcu which would continuously read sensor values and after reading two consecutive values  it will compare the two values  read happens every    ms  the flow of the code is as follows   so if you look at the line with the    how do i compare two sensor values in real time every    ms   let me know if one wants to more info   ,c micromouse
2519,how to measure displacement  cheaply and without using an accelerometer ,motion is known to be confined in a sphere with radius of about    m  and resolution doesn t have to be very high   cm is enough   the device will actually be incorporated in a toy designed for kids  i tried implementing that with an accelerometer but the estimated displacement drifted away    s of meters per minute  is there some other solution  maybe involving electrical or magnetic fields  it s important that the sensor costs no more than a few bucks  edit  the device should not be attached to anything mechanical and its movement is in  d  a kid moves the toy freely   ,sensors imu
2524,how to calculate the power required to drive a fan,i need to specify a fan motor combination and wondered if there are formulas that can work this out  the fan we are using is a crossflow fan   so i m assuming the power required to drive it is derived from the number of blades  dimensions of blades  including angle of attack   dimension of barrel wheel and the speed in rpm  is this possible or does it need to be worked out practically with experimental measurements etc  hopefully this is the correct stack for this question  if not then mods please feel free to edit close   ,motor power
2526,neuromorphic engineering and robotics,i have been into a boggling paper research on neuromorphic engineering and its implications on robotics applications  lately  it is relatively a less applied field and full of academic papers and difficult to skim easily    there are many ongoing projects applying analog or digital circuitry design to implement neurosynaptic simulations of the brain  consumer oriented products like ibm synapse and qualcomm s zeroth focus on digital hardware whereas academic research like standford s neurogrid or etc zurich s human brain project focus more on actual brain study using analog hardware  if anybody is following this engineering field  can he she spread more light on it and explain it s implications  methodologies and toolsets to the community  in detail  ps   regarding toolsets  i m talking about the most feasible engineering methodologies to commit to the field  ,mobile-robot artificial-intelligence research machine-learning
2530,help sending serial command to roomba,i have a raspberry pi hooked up to a roomba     s serial port  while going over the spec  i noticed movement controls weren t as simple as i expected  i can t send bytes larger than      but  according to the spec  to go straight i have to send       how does this work  edit  my solution was the following three functions   ,mobile-robot raspberry-pi serial irobot-create roomba
2531,why is ros not a real time operating system ,ros is not real time os  after reading the architecture of ros  i am unable to realize why is ros not real time  what part of the architecture or what design decision is causing that  ,ros
